municipality,ibge_tipo,geo_class,geo4,cd_gcmun
OURINHOS,Urbano,Urbano,Urbano,3534708
DETENTO,NotAMunicipality,Prison,Urbano,
SAO PAULO,Urbano,Sao Paulo city,Sao Paulo city,3550308
SALTO GRANDE,IntermediarioAdjacente,IntermediarioAdjacente,IntermediarioAdjacente,3545407
BARRETOS,Urbano,Urbano,Urbano,3505500
ASSIS,Urbano,Urbano,Urbano,3504008
CAMPINAS,Urbano,Urbano,Urbano,3509502
RIBEIRAO PRETO,Urbano,Urbano,Urbano,3543402
SANTA CRUZ DO RIO PARDO,Urbano,Urbano,Urbano,3546405
ARACATUBA,Urbano,Urbano,Urbano,3502804
ITAPIRA,Urbano,Urbano,Urbano,3522604
PRAIA GRANDE,Urbano,Urbano,Urbano,3541000
JAU,Urbano,Urbano,Urbano,3525300
SANTOS,Urbano,Urbano,Urbano,3548500
BARRA BONITA,Urbano,Urbano,Urbano,3505302
BAURU,Urbano,Urbano,Urbano,3506003
DRACENA,Urbano,Urbano,Urbano,3514403
FRANCISCO MORATO,Urbano,Urbano,Urbano,3516309
ILHA COMPRIDA,IntermediarioAdjacente,IntermediarioAdjacente,IntermediarioAdjacente,3520426
BARUERI,Urbano,Urbano,Urbano,3505708
CARAPICUIBA,Urbano,Urbano,Urbano,3510609
ITAPEVI,Urbano,Urbano,Urbano,3522505
CUBATAO,Urbano,Urbano,Urbano,3513504
GUARUJA,Urbano,Urbano,Urbano,3518701
ARUJA,Urbano,Urbano,Urbano,3503901
FERRAZ DE VASCONCELOS,Urbano,Urbano,Urbano,3515707
ORIENTE,Urbano,Urbano,Urbano,3534104
OSASCO,Urbano,Urbano,Urbano,3534401
JUQUITIBA,RuralAdjacente,RuralAdjacente,RuralAdjacente,3526209
TARUMA,Urbano,Urbano,Urbano,3553955
IBIRAREMA,IntermediarioAdjacente,IntermediarioAdjacente,IntermediarioAdjacente,3519501
OLEO,RuralAdjacente,RuralAdjacente,RuralAdjacente,3533809
TIMBURI,RuralAdjacente,RuralAdjacente,RuralAdjacente,3554607
RIBEIRAO PIRES,Urbano,Urbano,Urbano,3543303
SAO PEDRO DO TURVO,RuralAdjacente,RuralAdjacente,RuralAdjacente,3550506
FLORINEA,RuralAdjacente,RuralAdjacente,RuralAdjacente,3516101
JANDIRA,Urbano,Urbano,Urbano,3525003
SANTO ANDRE,Urbano,Urbano,Urbano,3547809
COROADOS,Urbano,Urbano,Urbano,3512506
SAO VICENTE,Urbano,Urbano,Urbano,3551009
COSMOPOLIS,Urbano,Urbano,Urbano,3512803
MOGI GUACU,Urbano,Urbano,Urbano,3530706
MONTE ALTO,Urbano,Urbano,Urbano,3531308
PRESIDENTE PRUDENTE,Urbano,Urbano,Urbano,3541406
ITAPECERICA DA SERRA,Urbano,Urbano,Urbano,3522208
PEREIRA BARRETO,Urbano,Urbano,Urbano,3537404
ITAPETININGA,Urbano,Urbano,Urbano,3522307
SAO JOSE DO RIO PARDO,Urbano,Urbano,Urbano,3549706
OSVALDO CRUZ,Urbano,Urbano,Urbano,3534609
ADAMANTINA,Urbano,Urbano,Urbano,3500105
BURITAMA,Urbano,Urbano,Urbano,3508108
PENAPOLIS,Urbano,Urbano,Urbano,3537305
ANDRADINA,Urbano,Urbano,Urbano,3502101
MIRANDOPOLIS,Urbano,Urbano,Urbano,3530102
SAO JOSE DO RIO PRETO,Urbano,Urbano,Urbano,3549805
GUARACAI,IntermediarioAdjacente,IntermediarioAdjacente,IntermediarioAdjacente,3517802
ITU,Urbano,Urbano,Urbano,3523909
PORTO FELIZ,Urbano,Urbano,Urbano,3540606
VIRADOURO,Urbano,Urbano,Urbano,3556800
GUAIRA,Urbano,Urbano,Urbano,3517406
COLOMBIA,Urbano,Urbano,Urbano,3512100
SANTA FE DO SUL,Urbano,Urbano,Urbano,3546603
BEBEDOURO,Urbano,Urbano,Urbano,3506102
CAIEIRAS,Urbano,Urbano,Urbano,3509007
PILAR DO SUL,IntermediarioAdjacente,IntermediarioAdjacente,IntermediarioAdjacente,3537909
SALTO DE PIRAPORA,Urbano,Urbano,Urbano,3545308
SAO JOSE DOS CAMPOS,Urbano,Urbano,Urbano,3549904
PIEDADE,RuralAdjacente,RuralAdjacente,RuralAdjacente,3537800
SOROCABA,Urbano,Urbano,Urbano,3552205
CAPELA DO ALTO,RuralAdjacente,RuralAdjacente,RuralAdjacente,3510302
COLINA,Urbano,Urbano,Urbano,3512001
SALTO,Urbano,Urbano,Urbano,3545209
PAULINIA,Urbano,Urbano,Urbano,3536505
MAIRINQUE,Urbano,Urbano,Urbano,3528403
IPERO,Urbano,Urbano,Urbano,3521002
PIRASSUNUNGA,Urbano,Urbano,Urbano,3539301
POMPEIA,Urbano,Urbano,Urbano,3540002
BRODOWSKI,Urbano,Urbano,Urbano,3507803
GUARATINGUETA,Urbano,Urbano,Urbano,3518404
ITIRAPINA,Urbano,Urbano,Urbano,3523602
BASTOS,Urbano,Urbano,Urbano,3505807
TUPA,Urbano,Urbano,Urbano,3555000
CRAVINHOS,Urbano,Urbano,Urbano,3513108
SANTA CRUZ DAS PALMEIRAS,Urbano,Urbano,Urbano,3546306
PARAPUA,IntermediarioAdjacente,IntermediarioAdjacente,IntermediarioAdjacente,3536000
QUINTANA,IntermediarioAdjacente,IntermediarioAdjacente,IntermediarioAdjacente,3542008
TATUI,Urbano,Urbano,Urbano,3554003
ALTINOPOLIS,Urbano,Urbano,Urbano,3501004
ECHAPORA,IntermediarioAdjacente,IntermediarioAdjacente,IntermediarioAdjacente,3514700
GUARULHOS,Urbano,Urbano,Urbano,3518800
GUARIBA,Urbano,Urbano,Urbano,3518602
MORRO AGUDO,Urbano,Urbano,Urbano,3531902
MONGAGUA,Urbano,Urbano,Urbano,3531100
ITATIBA,Urbano,Urbano,Urbano,3523404
LIMEIRA,Urbano,Urbano,Urbano,3526902
SUMARE,Urbano,Urbano,Urbano,3552403
TAUBATE,Urbano,Urbano,Urbano,3554102
CARAGUATATUBA,Urbano,Urbano,Urbano,3510500
SANTA ISABEL,Urbano,Urbano,Urbano,3546801
CABREUVA,Urbano,Urbano,Urbano,3508405
PRACINHA,Urbano,Urbano,Urbano,3540853
LOUVEIRA,Urbano,Urbano,Urbano,3527306
ITANHAEM,Urbano,Urbano,Urbano,3522109
BERTIOGA,Urbano,Urbano,Urbano,3506359
MAUA,Urbano,Urbano,Urbano,3529401
PERUIBE,Urbano,Urbano,Urbano,3537602
JARINU,Urbano,Urbano,Urbano,3525201
COTIA,Urbano,Urbano,Urbano,3513009
SAO BERNARDO DO CAMPO,Urbano,Urbano,Urbano,3548708
SALMOURAO,IntermediarioAdjacente,IntermediarioAdjacente,IntermediarioAdjacente,3545100
GARCA,Urbano,Urbano,Urbano,3516705
PLATINA,RuralAdjacente,RuralAdjacente,RuralAdjacente,3539707
VARGEM GRANDE PAULISTA,Urbano,Urbano,Urbano,3556453
MOCOCA,Urbano,Urbano,Urbano,3530508
MOGI-MIRIM,Urbano,Urbano,Urbano,3530805
VARGEM GRANDE DO SUL,Urbano,Urbano,Urbano,3556404
TAMBAU,Urbano,Urbano,Urbano,3553302
RIO DAS PEDRAS,Urbano,Urbano,Urbano,3544004
DIADEMA,Urbano,Urbano,Urbano,3513801
FRANCA,Urbano,Urbano,Urbano,3516200
JUNDIAI,Urbano,Urbano,Urbano,3525904
SAO JOAO DA BOA VISTA,Urbano,Urbano,Urbano,3549102
AGUAI,Urbano,Urbano,Urbano,3500303
ESPIRITO SANTO DO PINHAL,Urbano,Urbano,Urbano,3515186
ITARARE,Urbano,Urbano,Urbano,3523206
ITAPEVA,Urbano,Urbano,Urbano,3522406
EMBU,Urbano,Urbano,Urbano,3515004
BURI,Urbano,Urbano,Urbano,3508009
VOTORANTIM,Urbano,Urbano,Urbano,3557006
GUAPIARA,RuralAdjacente,RuralAdjacente,RuralAdjacente,3517604
NOVA CAMPINA,RuralAdjacente,RuralAdjacente,RuralAdjacente,3532827
TABOAO DA SERRA,Urbano,Urbano,Urbano,3552809
RIBEIRAO BRANCO,RuralAdjacente,RuralAdjacente,RuralAdjacente,3543006
SERTAOZINHO,Urbano,Urbano,Urbano,3551702
SANTA BARBARA D OESTE,Urbano,Urbano,Urbano,3545803
PEDERNEIRAS,Urbano,Urbano,Urbano,3536703
MARILIA,Urbano,Urbano,Urbano,3529005
INDAIATUBA,Urbano,Urbano,Urbano,3520509
CERQUILHO,Urbano,Urbano,Urbano,3511508
SAO SEBASTIAO,Urbano,Urbano,Urbano,3550704
SAGRES,RuralAdjacente,RuralAdjacente,RuralAdjacente,3544707
MIRASSOLANDIA,Urbano,Urbano,Urbano,3530409
JACAREI,Urbano,Urbano,Urbano,3524402
