"model","term","estimate","p_value"
"Cox_Death_Adjusted","age_group25-44","1.18 (0.95-1.45)","0.132"
"Cox_Death_Adjusted","age_group45-64","2.17 (1.73-2.73)","<0.001"
"Cox_Death_Adjusted","age_group≥65","3.90 (2.81-5.41)","<0.001"
"Cox_Death_Adjusted","sexMale","0.90 (0.77-1.05)","0.177"
"Cox_Death_Adjusted","race_cleanBlack or Mixed","1.11 (0.95-1.30)","0.193"
"Cox_Death_Adjusted","race_cleanOther","1.48 (0.79-2.78)","0.226"
"Cox_Death_Adjusted","edu_clean≤ 7 years","1.30 (0.96-1.78)","0.090"
"Cox_Death_Adjusted","edu_clean8 - 11 years","1.25 (0.91-1.73)","0.164"
"Cox_Death_Adjusted","edu_cleanNone","1.32 (0.81-2.15)","0.265"
"Cox_Death_Adjusted","hiv_aidsPositive","1.76 (1.49-2.07)","<0.001"
"Cox_Death_Adjusted","diabetesYes","1.09 (0.81-1.45)","0.573"
"Cox_Death_Adjusted","alcoholYes","1.34 (1.15-1.56)","<0.001"
"Cox_Death_Adjusted","drug_useYes","1.05 (0.90-1.22)","0.531"
"Cox_Death_Adjusted","incarceratedYes","0.39 (0.22-0.68)","<0.001"
"Cox_Death_Adjusted","homelessnessYes","1.30 (1.10-1.55)","0.003"
"Cox_Death_Adjusted","hosp_admissionYes","3.62 (3.10-4.23)","<0.001"
"Cox_Death_Adjusted","clinical_cleanExtrapulmonary","0.81 (0.65-1.01)","0.060"
"Cox_Death_Adjusted","clinical_cleanPulmonary and Extrapulmonary or disseminated","1.34 (1.03-1.74)","0.029"
"Cox_Death_Adjusted","dot_statusYes","0.71 (0.62-0.82)","<0.001"
"Cox_Death_Adjusted","tx_month_grp1 to <2 months","0.91 (0.72-1.14)","0.396"
"Cox_Death_Adjusted","tx_month_grp2 to <4 months","0.79 (0.64-0.98)","0.034"
"Cox_Death_Adjusted","tx_month_grp≥ 4 months","0.77 (0.62-0.95)","0.014"
"FG_Retr_Adjusted","age_group25-44","1.04 (0.99-1.10)","0.102"
"FG_Retr_Adjusted","age_group45-64","0.90 (0.84-0.97)","0.004"
"FG_Retr_Adjusted","age_group≥65","0.63 (0.54-0.74)","<0.001"
"FG_Retr_Adjusted","sexMale","0.98 (0.93-1.03)","0.486"
"FG_Retr_Adjusted","race_cleanBlack or Mixed","1.03 (0.98-1.08)","0.180"
"FG_Retr_Adjusted","race_cleanOther","0.82 (0.64-1.06)","0.128"
"FG_Retr_Adjusted","edu_clean≤ 7 years","1.27 (1.16-1.40)","<0.001"
"FG_Retr_Adjusted","edu_clean8 - 11 years","1.17 (1.05-1.31)","0.007"
"FG_Retr_Adjusted","edu_cleanNone","1.18 (0.98-1.43)","0.079"
"FG_Retr_Adjusted","hiv_aidsPositive","1.35 (1.27-1.44)","<0.001"
"FG_Retr_Adjusted","diabetesYes","0.95 (0.85-1.06)","0.324"
"FG_Retr_Adjusted","alcoholYes","1.04 (0.99-1.09)","0.105"
"FG_Retr_Adjusted","drug_useYes","1.15 (1.09-1.20)","<0.001"
"FG_Retr_Adjusted","incarceratedYes","0.85 (0.77-0.93)","<0.001"
"FG_Retr_Adjusted","homelessnessYes","1.02 (0.96-1.08)","0.592"
"FG_Retr_Adjusted","hosp_admissionYes","1.72 (1.65-1.80)","<0.001"
"FG_Retr_Adjusted","clinical_cleanExtrapulmonary","0.59 (0.54-0.64)","<0.001"
"FG_Retr_Adjusted","clinical_cleanPulmonary and Extrapulmonary or disseminated","0.75 (0.67-0.85)","<0.001"
"FG_Retr_Adjusted","dot_statusYes","1.09 (1.04-1.15)","<0.001"
"FG_Retr_Adjusted","tx_month_grp1 to <2 months","1.57 (1.43-1.71)","<0.001"
"FG_Retr_Adjusted","tx_month_grp2 to <4 months","1.30 (1.20-1.41)","<0.001"
"FG_Retr_Adjusted","tx_month_grp≥ 4 months","0.71 (0.66-0.78)","<0.001"
"Cox_Death_Unadjusted","age_group25-44","1.64 (1.34-2.02)","<0.001"
"Cox_Death_Unadjusted","age_group45-64","3.38 (2.72-4.20)","<0.001"
"Cox_Death_Unadjusted","age_group≥65","4.98 (3.65-6.79)","<0.001"
"Cox_Death_Unadjusted","sexMale","0.83 (0.72-0.97)","0.019"
"Cox_Death_Unadjusted","race_cleanBlack or Mixed","1.04 (0.89-1.21)","0.643"
"Cox_Death_Unadjusted","race_cleanOther","1.27 (0.67-2.41)","0.469"
"Cox_Death_Unadjusted","edu_clean≤ 7 years","1.48 (1.10-1.99)","0.009"
"Cox_Death_Unadjusted","edu_clean8 - 11 years","1.24 (0.91-1.70)","0.175"
"Cox_Death_Unadjusted","edu_cleanNone","1.99 (1.21-3.27)","0.007"
"Cox_Death_Unadjusted","hiv_aidsPositive","2.61 (2.25-3.03)","<0.001"
"Cox_Death_Unadjusted","diabetesYes","1.56 (1.17-2.06)","0.002"
"Cox_Death_Unadjusted","alcoholYes","1.64 (1.44-1.88)","<0.001"
"Cox_Death_Unadjusted","drug_useYes","1.21 (1.06-1.38)","0.005"
"Cox_Death_Unadjusted","incarceratedYes","0.18 (0.10-0.31)","<0.001"
"Cox_Death_Unadjusted","homelessnessYes","2.23 (1.90-2.62)","<0.001"
"Cox_Death_Unadjusted","hosp_admissionYes","5.06 (4.38-5.84)","<0.001"
"Cox_Death_Unadjusted","clinical_cleanExtrapulmonary","1.15 (0.93-1.42)","0.192"
