"model","term","estimate","p_value"
"Cox_Death_Adjusted_MI","age_group25-44","1.23 (1.06-1.43)","0.008"
"Cox_Death_Adjusted_MI","age_group45-64","1.86 (1.57-2.20)","<0.001"
"Cox_Death_Adjusted_MI","age_group≥65","2.72 (2.10-3.53)","<0.001"
"Cox_Death_Adjusted_MI","sexMale","0.96 (0.85-1.07)","0.433"
"Cox_Death_Adjusted_MI","race_cleanBlack or Mixed","1.06 (0.95-1.18)","0.313"
"Cox_Death_Adjusted_MI","race_cleanOther","1.25 (0.75-2.07)","0.386"
"Cox_Death_Adjusted_MI","edu_clean8 - 11 years","1.34 (1.00-1.79)","0.052"
"Cox_Death_Adjusted_MI","edu_cleanNone","1.90 (1.29-2.79)","0.001"
"Cox_Death_Adjusted_MI","edu_clean≤ 7 years","1.74 (1.35-2.24)","<0.001"
"Cox_Death_Adjusted_MI","hiv_aidsPositive","2.29 (2.04-2.57)","<0.001"
"Cox_Death_Adjusted_MI","diabetesYes","1.10 (0.88-1.37)","0.414"
"Cox_Death_Adjusted_MI","alcoholYes","1.35 (1.21-1.51)","<0.001"
"Cox_Death_Adjusted_MI","drug_useYes","0.98 (0.88-1.09)","0.697"
"Cox_Death_Adjusted_MI","incarceratedYes","0.45 (0.31-0.64)","<0.001"
"Cox_Death_Adjusted_MI","homelessnessYes","1.10 (0.97-1.25)","0.135"
"Cox_Death_Adjusted_MI","hosp_admissionYes","4.45 (3.97-4.99)","<0.001"
"Cox_Death_Adjusted_MI","clinical_cleanExtrapulmonary","0.72 (0.61-0.85)","<0.001"
"Cox_Death_Adjusted_MI","clinical_cleanPulmonary and Extrapulmonary or disseminated","0.96 (0.78-1.18)","0.688"
"Cox_Death_Adjusted_MI","dot_statusYes","0.95 (0.85-1.07)","0.422"
"Cox_Death_Adjusted_MI","tx_month_grp1 to <2 months","1.11 (0.93-1.32)","0.245"
"Cox_Death_Adjusted_MI","tx_month_grp2 to <4 months","0.92 (0.78-1.08)","0.305"
"Cox_Death_Adjusted_MI","tx_month_grp≥ 4 months","0.75 (0.63-0.88)","<0.001"
"FG_Retr_Adjusted_MI","age_group25-44","1.03 (0.98-1.08)","0.268"
"FG_Retr_Adjusted_MI","age_group45-64","0.87 (0.82-0.94)","<0.001"
"FG_Retr_Adjusted_MI","age_group≥65","0.59 (0.50-0.69)","<0.001"
"FG_Retr_Adjusted_MI","sexMale","0.98 (0.93-1.03)","0.390"
"FG_Retr_Adjusted_MI","race_cleanBlack or Mixed","1.02 (0.98-1.07)","0.311"
"FG_Retr_Adjusted_MI","race_cleanOther","0.77 (0.56-1.06)","0.111"
"FG_Retr_Adjusted_MI","edu_clean8 - 11 years","1.17 (1.02-1.33)","0.028"
"FG_Retr_Adjusted_MI","edu_cleanNone","1.14 (0.95-1.36)","0.160"
"FG_Retr_Adjusted_MI","edu_clean≤ 7 years","1.26 (1.11-1.44)","0.002"
"FG_Retr_Adjusted_MI","hiv_aidsPositive","1.37 (1.29-1.45)","<0.001"
"FG_Retr_Adjusted_MI","diabetesYes","0.98 (0.88-1.10)","0.718"
