"Subgroup","Stratum","N_Stratum","HR","CI_Low","CI_High","P_Value","Interaction_P_Value"
"hiv_aids","Negative",137693,2.36116854467484,2.16271098376119,2.57783723216967,5.40857103615635e-82,"(Ref) p=0.0275"
"hiv_aids","Positive",10567,2.77940999533951,2.37811454917354,3.24842212704928,8.7148447129407e-38,"0.0275"
"homelessness","No",143159,2.71888066859282,2.50772834983688,2.94781214661014,6.70495890746829e-130,"(Ref) p=0.0000"
"homelessness","Yes",5101,1.35023493075245,1.10986867782271,1.64265773478771,0.00268066290026175,"0.0000"
"incarcerated","No",127863,2.4904110179954,2.305292223281,2.69039515941528,1.34804478264418e-118,"(Ref) p=0.1600"
"incarcerated","Yes",20397,2.73295476284896,1.77560362281836,4.20648034268115,4.89156213992055e-06,"0.1600"
"drug_use","No",122066,2.47201690038837,2.25372857186012,2.71144787890856,4.72580175756257e-82,"(Ref) p=0.8731"
"drug_use","Yes",26194,2.44317580907643,2.13161158219898,2.80027941483528,1.05626257068687e-37,"0.8731"
"alcohol","No",122176,2.76692034639568,2.50863992302824,3.05179238081199,4.14698150831837e-92,"(Ref) p=0.0000"
"alcohol","Yes",26084,2.04280592389871,1.81132718096229,2.30386651653882,2.53742997747777e-31,"0.0000"
"diabetes","No",139781,2.53854213607462,2.34575940990904,2.74716842204894,3.04713844452941e-118,"(Ref) p=0.0098"
"diabetes","Yes",8479,1.94067705606927,1.44531046564461,2.6058258937978,1.03621629520746e-05,"0.0098"
"sex","Female",41939,3.19429686935709,2.70057503786239,3.77828142026411,7.21010561094367e-42,"(Ref) p=0.0000"
"sex","Male",106321,2.29802456112441,2.10954699410947,2.50334166447917,5.80736053712291e-81,"0.0000"
