"model","term","estimate","p_value"
"Cox_Death_Adjusted_MI","age_group25-44","1.23 (1.05-1.43)","0.008"
"Cox_Death_Adjusted_MI","age_group45-64","1.85 (1.57-2.20)","<0.001"
"Cox_Death_Adjusted_MI","age_group≥65","2.68 (2.06-3.47)","<0.001"
"Cox_Death_Adjusted_MI","sexMale","0.96 (0.85-1.07)","0.462"
"Cox_Death_Adjusted_MI","race_cleanBlack or Mixed","1.02 (0.88-1.17)","0.816"
"Cox_Death_Adjusted_MI","race_cleanOther","1.25 (0.71-2.19)","0.437"
"Cox_Death_Adjusted_MI","edu_clean≤ 7 years","1.72 (1.33-2.23)","<0.001"
"Cox_Death_Adjusted_MI","edu_clean8 - 11 years","1.34 (1.04-1.72)","0.025"
"Cox_Death_Adjusted_MI","edu_cleanNone","1.88 (1.30-2.72)","<0.001"
"Cox_Death_Adjusted_MI","hiv_aidsPositive","2.30 (2.05-2.58)","<0.001"
"Cox_Death_Adjusted_MI","diabetesYes","1.09 (0.88-1.37)","0.422"
"Cox_Death_Adjusted_MI","alcoholYes","1.35 (1.21-1.51)","<0.001"
"Cox_Death_Adjusted_MI","drug_useYes","0.98 (0.88-1.10)","0.724"
"Cox_Death_Adjusted_MI","incarceratedYes","0.45 (0.31-0.64)","<0.001"
"Cox_Death_Adjusted_MI","homelessnessYes","1.10 (0.97-1.25)","0.143"
"Cox_Death_Adjusted_MI","hosp_admissionYes","4.44 (3.96-4.98)","<0.001"
"Cox_Death_Adjusted_MI","clinical_cleanExtrapulmonary","0.72 (0.61-0.85)","<0.001"
"Cox_Death_Adjusted_MI","clinical_cleanPulmonary and Extrapulmonary or disseminated","0.96 (0.77-1.18)","0.677"
"Cox_Death_Adjusted_MI","dot_statusYes","0.97 (0.87-1.08)","0.620"
"Cox_Death_Adjusted_MI","tx_month_grp< 2 months","1.43 (1.27-1.62)","<0.001"
"Cox_Death_Adjusted_MI","tx_month_grp2 to <4 months","1.23 (1.10-1.38)","<0.001"
"FG_Retr_Adjusted_MI","age_group25-44","1.03 (0.98-1.08)","0.283"
"FG_Retr_Adjusted_MI","age_group45-64","0.87 (0.81-0.93)","<0.001"
"FG_Retr_Adjusted_MI","age_group≥65","0.58 (0.49-0.68)","<0.001"
"FG_Retr_Adjusted_MI","sexMale","0.98 (0.93-1.03)","0.456"
"FG_Retr_Adjusted_MI","race_cleanBlack or Mixed","1.03 (0.98-1.07)","0.241"
"FG_Retr_Adjusted_MI","race_cleanOther","0.80 (0.62-1.03)","0.080"
"FG_Retr_Adjusted_MI","edu_clean≤ 7 years","1.30 (1.19-1.43)","<0.001"
"FG_Retr_Adjusted_MI","edu_clean8 - 11 years","1.21 (1.09-1.34)","<0.001"
"FG_Retr_Adjusted_MI","edu_cleanNone","1.22 (1.00-1.49)","0.053"
"FG_Retr_Adjusted_MI","hiv_aidsPositive","1.38 (1.30-1.47)","<0.001"
"FG_Retr_Adjusted_MI","diabetesYes","0.99 (0.88-1.10)","0.816"
"FG_Retr_Adjusted_MI","alcoholYes","1.07 (1.02-1.13)","0.005"
"FG_Retr_Adjusted_MI","drug_useYes","1.18 (1.13-1.24)","<0.001"
"FG_Retr_Adjusted_MI","incarceratedYes","0.85 (0.78-0.93)","<0.001"
"FG_Retr_Adjusted_MI","homelessnessYes","0.85 (0.80-0.91)","<0.001"
"FG_Retr_Adjusted_MI","hosp_admissionYes","1.71 (1.64-1.79)","<0.001"
