"strata","year","mortality_pct"
"tx_month_grp=< 1 month",1,6.59699542782505
"tx_month_grp=< 1 month",5,12.9117311818291
"tx_month_grp=< 1 month",10,16.4017956921539
"tx_month_grp=< 1 month",11.9,16.9376816172042
"tx_month_grp=1 to <2 months",1,5.29986052998593
"tx_month_grp=1 to <2 months",5,11.8790512400415
"tx_month_grp=1 to <2 months",10,14.5655103384762
"tx_month_grp=1 to <2 months",11.9,15.606838748678
"tx_month_grp=2 to <4 months",1,2.59740259740256
"tx_month_grp=2 to <4 months",5,8.11502752499655
"tx_month_grp=2 to <4 months",10,11.3075684258639
"tx_month_grp=2 to <4 months",11.9,11.5652900745827
"tx_month_grp=≥ 4 months",1,0.95047999239618
"tx_month_grp=≥ 4 months",5,5.18301310909389
"tx_month_grp=≥ 4 months",10,8.07072236585593
"tx_month_grp=≥ 4 months",11.9,9.23689594024802
