"Subgroup","Level","HR","CI_L","CI_H","Interaction_P"
"age_group","25-44",2.984264326764,2.68025130971793,3.32276064550583,"min p = 0.0000"
"age_group","45-64",2.54101003068283,2.20494442419766,2.92829692448156,"min p = 0.0000"
"age_group","15-24",3.39627971773917,2.63797093232751,4.37257127429727,"min p = 0.0000"
"age_group","65+",1.79018613585198,1.31910799531491,2.42949509242538,"min p = 0.0000"
"sex","Male",2.72498708264555,2.49918819468897,2.97118665027513,"p = 0.0128"
"sex","Female",2.83361999642619,2.40685325935384,3.33605808868547,"p = 0.0128"
"hiv_aids","Negative",2.77003185008345,2.53201816315785,3.03041919766766,"p = 0.6225"
"hiv_aids","Positive",2.72616460211396,2.367099098644,3.13969678839241,"p = 0.6225"
"homelessness","No",3.20959042381786,2.96361474135721,3.47598172762012,"p = 0.0000"
"homelessness","Yes",1.68817622424406,1.42341746280063,2.0021806944082,"p = 0.0000"
