outcome,tx_month_group,n,risk_1yr_%,risk_2yr_%,risk_3yr_%
Re-notification,Month 1,2113,39.6,43.9,45.7
Re-notification,Month 2,4046,51.1,58.4,60.8
Re-notification,Month 3,5089,47.5,53.4,56.2
Re-notification,Month 4,4299,40.6,46.3,49.5
Re-notification,Month 5,4481,31.4,36.2,38.8
Re-notification,Month 6,3495,25.0,28.8,31.3
Re-notification,Month 7+,5169,21.1,24.8,27.1
Death (comprehensive),Month 1,2113,6.6,9.0,10.7
Death (comprehensive),Month 2,4046,5.5,8.4,10.0
Death (comprehensive),Month 3,5089,3.8,6.1,7.6
Death (comprehensive),Month 4,4299,3.1,5.0,6.2
Death (comprehensive),Month 5,4481,2.5,3.7,5.0
Death (comprehensive),Month 6,3495,1.7,2.9,3.9
Death (comprehensive),Month 7+,5169,1.5,3.2,4.3
